,index,day,date,code,open,high,low,close,volume,ma_5,ma_10,ma_20,ma_50,ma_100,stoc_k_short,stoc_d_long,rsi,macd,resistance,support
0,0,1,2016-11-24,TLKM,3900.0,3930.0,3760.0,3810.0,91265600,3920.0,3919.0,4054.0,4155.8,4175.2,25.757576,39.393939,34.427528,-81.301155,4300.0,3640.0
1,1,2,2016-11-25,TLKM,3770.0,3830.0,3770.0,3830.0,65999500,3892.0,3906.0,4034.0,4150.6,4173.8,28.787879,33.333333,36.073949,-86.179179,4300.0,3640.0
2,2,3,2016-11-28,TLKM,3850.0,3860.0,3820.0,3840.0,61860400,3874.0,3911.0,4015.0,4143.4,4172.4,30.769231,28.438228,36.926695,-88.221172,4300.0,3640.0
3,3,4,2016-11-29,TLKM,3830.0,3880.0,3830.0,3840.0,73215900,3852.0,3911.0,3997.0,4137.0,4171.1,34.482759,31.346623,36.926695,-88.815655,4300.0,3640.0
4,4,5,2016-11-30,TLKM,3820.0,3900.0,3770.0,3780.0,145322000,3820.0,3889.0,3976.0,4128.6,4168.2,34.146341,33.132777,33.790143,-93.055599,4300.0,3640.0
5,5,6,2016-12-01,TLKM,3820.0,3900.0,3810.0,3860.0,96825100,3830.0,3875.0,3961.5,4121.2,4165.8,55.0,41.2097,40.987595,-88.935263,4300.0,3640.0
6,6,7,2016-12-02,TLKM,3820.0,3960.0,3810.0,3910.0,68873200,3846.0,3869.0,3949.5,4114.8,4162.3,53.571429,47.57259,45.011025,-80.704968,4300.0,3640.0
7,7,8,2016-12-05,TLKM,3900.0,4000.0,3890.0,3960.0,56831800,3870.0,3872.0,3940.0,4109.2,4160.8,71.428571,60.0,48.772361,-69.348413,4000.0,3640.0
8,8,9,2016-12-06,TLKM,3930.0,3960.0,3900.0,3910.0,67135100,3884.0,3868.0,3921.5,4101.8,4157.9,53.571429,59.52381,45.426122,-63.649135,4000.0,3640.0
9,9,10,2016-12-07,TLKM,3890.0,3890.0,3820.0,3850.0,74498300,3898.0,3859.0,3908.0,4093.8,4155.0,33.333333,52.777778,41.726472,-63.244868,4000.0,3640.0
10,10,11,2016-12-08,TLKM,3880.0,3940.0,3860.0,3940.0,80253900,3914.0,3872.0,3895.5,4086.8,4152.8,75.0,53.968254,48.501699,-55.027908,4000.0,3640.0
11,11,12,2016-12-09,TLKM,3930.0,3980.0,3910.0,3960.0,73229000,3924.0,3885.0,3895.5,4079.8,4150.5,83.333333,63.888889,49.895815,-46.367579,4000.0,3640.0
12,12,13,2016-12-13,TLKM,3920.0,3970.0,3900.0,3970.0,85397800,3926.0,3898.0,3904.5,4071.6,4149.0,87.5,81.944444,50.615677,-38.256294,4000.0,3640.0
13,13,14,2016-12-14,TLKM,3910.0,3970.0,3910.0,3920.0,53216800,3928.0,3906.0,3908.5,4062.8,4147.1,66.666667,79.166667,46.981103,-35.453934,4000.0,3640.0
14,14,15,2016-12-15,TLKM,3840.0,3940.0,3830.0,3910.0,58982800,3940.0,3919.0,3904.0,4055.0,4144.4,60.869565,71.678744,46.265552,-33.65204,4000.0,3640.0
